Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
3.65317,0.420109,0.0251603,-9.5176,7.20471E-06,0.000969062,3.73907E-05,-4.19311E-05,0.000032639,0.000013189,0.329831,0.943769,0.00888492,-0.0207803,179.824,357.416,141.477,0,0,0,0
3.68099,0.436913,0.0251603,-9.53405,1.93752E-05,0.000416145,-0.000471167,-4.20575E-05,3.26676E-05,1.29312E-05,0.329755,0.943796,0.00888459,-0.0208009,179.825,357.414,141.486,0,0,0,0
3.71214,0.429711,0.0274475,-9.51995,-0.00055073,-9.55742E-05,-0.000425406,-4.11048E-05,3.20043E-05,1.30602E-05,0.329664,0.943827,0.00887965,-0.0207912,179.825,357.415,141.497,0,0,0,0
3.74025,0.415307,0.0343094,-9.48941,-0.000537021,0.000428267,-0.000949468,-4.10027E-05,3.20115E-05,1.31055E-05,0.329631,0.94384,0.00885678,-0.0207715,179.827,357.418,141.501,0,0,0,0
3.77103,0.398503,0.0251603,-9.5176,0.000502819,0.000435285,-0.00041233,-4.12013E-05,3.21586E-05,0.000013277,0.329611,0.943848,0.00883687,-0.0207208,179.827,357.424,141.503,0,0,0,0
3.79897,0.432112,0.0411713,-9.54344,0.000491392,-0.000598997,0.00011408,-4.13327E-05,3.21025E-05,0.000012991,0.329561,0.943865,0.00885097,-0.0207178,179.825,357.424,141.509,0,0,0,0
3.83014,0.436913,0.0320221,-9.5035,-3.75453E-05,-0.000569243,0.000612505,-4.24983E-05,3.23922E-05,0.000013393,0.329292,0.943959,0.00884922,-0.0207176,179.824,357.424,141.542,0,0,0,0
3.85791,0.434512,0.0114365,-9.5035,-3.57572E-05,-0.00054214,7.65659E-05,-0.00004241,0.000032775,1.33114E-05,0.32917,0.944001,0.00885059,-0.0207408,179.825,357.422,141.557,0,0,0,0
3.8857,0.453717,0.0251603,-9.50585,-2.15415E-05,-0.00104813,-0.000446368,-4.18381E-05,3.25047E-05,1.32663E-05,0.329117,0.944019,0.00886012,-0.0207653,179.825,357.419,141.563,0,0,0,0
3.91749,0.436913,0.0274475,-9.53875,-0.000551825,-0.000479305,-0.00043929,-4.19595E-05,3.26118E-05,1.29691E-05,0.329065,0.944038,0.00883747,-0.020752,179.826,357.421,141.57,0,0,0,0
3.9448,0.429711,0.0365967,-9.51055,0.00100729,-0.000975773,8.84049E-05,-4.18075E-05,3.26579E-05,1.30437E-05,0.329065,0.944038,0.0088426,-0.0207433,179.825,357.422,141.57,0,0,0,0
3.97584,0.42491,0.0411713,-9.5129,0.000923704,0.00114522,-0.000424311,-4.27618E-05,3.23143E-05,0.000012746,0.328741,0.944151,0.00882182,-0.0207432,179.827,357.423,141.609,0,0,0,0
4.00209,0.429711,0.00914918,-9.5129,-0.000615584,8.96472E-05,0.00116628,-4.25728E-05,3.29887E-05,1.28998E-05,0.328633,0.944188,0.00882057,-0.0207587,179.827,357.421,141.622,0,0,0,0
4.0284,0.408106,0.0343094,-9.50115,0.000946572,0.000592155,0.00064151,-4.19456E-05,3.29013E-05,1.25104E-05,0.328656,0.944181,0.0088029,-0.0207451,179.829,357.423,141.619,0,0,0,0
4.05965,0.417708,0.0274475,-9.5082,0.000422452,0.00105745,0.00114056,-4.20245E-05,3.28175E-05,1.29885E-05,0.328653,0.944182,0.00883244,-0.020727,179.825,357.424,141.62,0,0,0,0
4.08745,0.420109,0.022873,-9.49411,-0.00061122,6.06105E-06,-0.000978395,-4.21068E-05,3.30472E-05,1.30526E-05,0.328701,0.944166,0.00883572,-0.0207065,179.824,357.426,141.614,0,0,0,0
4.11864,0.429711,0.0365967,-9.50115,0.000965057,0.000561859,0.000574037,-4.11062E-05,3.32704E-05,0.000013132,0.329111,0.944023,0.0088576,-0.0206939,179.822,357.426,141.564,0,0,0,0
4.14575,0.422509,0.0205857,-9.5082,0.000424843,0.000028329,-0.000973627,-4.15179E-05,3.35988E-05,1.28994E-05,0.329423,0.943914,0.00884487,-0.0206957,179.824,357.427,141.526,0,0,0,0
4.17248,0.417708,0.00914918,-9.51055,0.000404615,2.69804E-05,0.000605576,-0.000041532,3.27644E-05,1.32417E-05,0.329554,0.943869,0.00881654,-0.0206892,179.828,357.428,141.51,0,0,0,0
4.20236,0.422509,0.0320221,-9.49411,0.000870632,-0.000457279,-0.00100724,-4.15395E-05,3.23964E-05,0.000013366,0.329561,0.943867,0.00879405,-0.0206795,179.83,357.43,141.509,0,0,0,0
4.23003,0.429711,0.0274475,-9.527,0.000334913,-0.00151163,-0.000959285,-4.15341E-05,3.25219E-05,1.35451E-05,0.32955,0.943871,0.00879267,-0.0206774,179.83,357.431,141.511,0,0,0,0
4.25783,0.429711,0.022873,-9.54344,-0.00120137,-0.000438616,-0.00192717,-4.20494E-05,3.33774E-05,1.31603E-05,0.329636,0.943841,0.00881372,-0.02067,179.827,357.431,141.5,0,0,0,0
4.28748,0.439314,0.022873,-9.527,-0.00010304,0.00110106,0.000224318,-4.28777E-05,3.30399E-05,1.28089E-05,0.329518,0.943881,0.00881657,-0.020684,179.827,357.429,141.515,0,0,0,0
4.31529,0.429711,0.022873,-9.51995,-9.81335E-05,1.00527E-05,0.000213638,-4.21374E-05,3.26742E-05,1.29447E-05,0.329422,0.943915,0.00879551,-0.0206993,179.83,357.428,141.526,0,0,0,0
4.34579,0.427311,0.0480332,-9.51055,-0.000115631,3.37642E-05,-0.000308216,-4.18462E-05,3.24154E-05,1.33134E-05,0.329363,0.943936,0.00882156,-0.0206793,179.826,357.429,141.534,0,0,0,0
4.37273,0.436913,0.0320221,-9.46826,0.000384139,0.000551447,0.000225753,-4.17396E-05,3.25304E-05,1.30166E-05,0.32933,0.943947,0.00883862,-0.0206966,179.825,357.427,141.538,0,0,0,0
4.40053,0.422509,0.0411713,-9.5129,-0.000153441,-0.00103268,0.000227518,-4.16759E-05,3.26021E-05,1.25793E-05,0.32933,0.943947,0.00885237,-0.0206871,179.823,357.427,141.538,0,0,0,0
4.43004,0.420109,0.0182984,-9.48471,0.000401402,-0.000502486,0.000767693,-4.15957E-05,3.26744E-05,1.35413E-05,0.329382,0.943929,0.00885112,-0.020682,179.823,357.428,141.531,0,0,0,0
4.45766,0.427311,0.0251603,-9.5129,0.00142087,-0.000478562,-0.000826731,-4.13123E-05,3.24422E-05,1.36608E-05,0.329428,0.943913,0.00883968,-0.0206688,179.824,357.43,141.526,0,0,0,0
4.48416,0.429711,0.0274475,-9.5082,-0.000167113,0.000570292,0.00180908,-4.08719E-05,3.22976E-05,1.34957E-05,0.329524,0.943879,0.00883964,-0.020675,179.824,357.429,141.514,0,0,0,0
4.51523,0.436913,0.0297348,-9.48706,-0.000130596,-0.000508228,-0.000334069,-4.07626E-05,3.26161E-05,1.32623E-05,0.329761,0.943797,0.00884018,-0.0206778,179.825,357.429,141.485,0,0,0,0
4.5437,0.415307,0.0480332,-9.5129,0.00144601,-0.000509057,-0.000318162,-4.12946E-05,3.29202E-05,1.34752E-05,0.329934,0.943736,0.00884743,-0.020666,179.824,357.43,141.464,0,0,0,0
4.57241,0.42491,0.0343094,-9.49411,-0.00114106,-0.000497861,0.000730358,-4.14005E-05,3.28373E-05,0.000014,0.330141,0.943664,0.00887929,-0.0206702,179.822,357.428,141.439,0,0,0,0
4.59764,0.436913,0.0205857,-9.5035,-0.000592472,0.000551913,-0.000330485,-4.11828E-05,3.25483E-05,1.42017E-05,0.330229,0.943633,0.00888268,-0.0206684,179.821,357.428,141.429,0,0,0,0
4.62384,0.415307,0.0457459,-9.5082,-0.00110858,3.13707E-05,0.000204541,-4.13045E-05,3.28808E-05,1.38349E-05,0.330363,0.943586,0.00892428,-0.0206433,179.816,357.429,141.412,0,0,0,0
4.65039,0.439314,0.0457459,-9.49411,0.000489561,4.85219E-06,-0.000311974,-4.14034E-05,3.25628E-05,1.31006E-05,0.330409,0.943569,0.0089479,-0.0206594,179.815,357.427,141.407,0,0,0,0
4.67627,0.429711,0.0297348,-9.49881,0.000491278,-2.04053E-05,-0.000297122,-4.14503E-05,3.28883E-05,1.28828E-05,0.33048,0.943545,0.00894671,-0.0206492,179.814,357.428,141.398,0,0,0,0
4.71487,0.422509,0.022873,-9.5317,-0.000532219,-5.59017E-05,-0.000263944,-4.22187E-05,3.23659E-05,1.29183E-05,0.330332,0.943596,0.00892383,-0.0206877,179.818,357.424,141.416,0,0,0,0
4.75557,0.434512,0.038884,-9.5364,0.00107512,0.000479545,0.000237036,-4.25928E-05,3.28897E-05,1.30315E-05,0.330089,0.943681,0.00892836,-0.0206883,179.817,357.424,141.446,0,0,0,0
4.79523,0.403304,0.0274475,-9.51055,-1.74157E-06,0.00049663,-0.00135448,-4.19868E-05,0.000032366,1.27074E-05,0.329778,0.943791,0.00889882,-0.0206418,179.817,357.43,141.483,0,0,0,0
4.82393,0.422509,0.0434586,-9.53405,-2.63434E-05,0.000486612,-0.000281986,-4.15583E-05,3.24712E-05,1.29401E-05,0.329781,0.943791,0.00890136,-0.0206147,179.816,357.433,141.483,0,0,0,0
4.85052,0.441714,0.0503205,-9.5223,-0.00103864,0.00045093,-0.00078785,-4.15507E-05,3.25679E-05,1.30251E-05,0.329786,0.943788,0.00894031,-0.0206261,179.812,357.431,141.483,0,0,0,0
4.87676,0.42491,0.022873,-9.49881,-0.00154602,-0.000584096,-0.000256076,-4.15354E-05,3.28952E-05,1.33293E-05,0.329869,0.943759,0.00893535,-0.0206181,179.813,357.432,141.472,0,0,0,0
4.9031,0.427311,0.0526078,-9.5223,0.00106147,-4.95091E-05,0.000794698,-4.20633E-05,3.28276E-05,1.32625E-05,0.32987,0.943759,0.00892851,-0.0206203,179.814,357.432,141.472,0,0,0,0
4.93142,0.429711,0.0411713,-9.5317,2.24691E-05,-2.09901E-05,-0.000262722,-4.25275E-05,3.27663E-05,1.28692E-05,0.329687,0.943823,0.00892107,-0.0206045,179.813,357.434,141.495,0,0,0,0
4.95766,0.42491,0.022873,-9.50585,0.000528177,-0.000551794,0.000256561,-4.19061E-05,3.30244E-05,1.27405E-05,0.329697,0.94382,0.00889598,-0.0206098,179.816,357.434,141.493,0,0,0,0
4.98383,0.405705,0.0251603,-9.47061,-3.74764E-06,-0.000538034,-0.000287458,-4.17871E-05,3.29164E-05,1.21552E-05,0.329741,0.943805,0.00886342,-0.020596,179.819,357.437,141.488,0,0,0,0
