Time (sec), Accel X (m/s^2), Accel Y (m/s^2), Accel Z (m/s^2), Gyro X (rad/s), Gyro Y (rad/s), Gyro Z (rad/s), Mag X (μT), Mag Y (μT), Mag Z (μT), Quat X, Quat Y, Quat Z, Quat W, Roll (deg), Pitch (deg), Yaw (deg), Δdistance (m), ΔYaw (rad), ΔX (m), ΔY (m)
4.26233,0.295276,0.221868,-9.49176,-0.00176922,-0.0010149,0.000410032,-2.3566e-05,-8.20474e-06,2.0415e-05,0.1724,-0.984843,-0.0080074,0.0172675,178.754,358.209,199.878,0,0,0,0,
4.29772,0.302478,0.212719,-9.49646,0.000902319,-0.000473449,-0.000632457,-2.3238e-05,-8.98165e-06,2.03197e-05,0.172759,-0.98478,-0.0079902,0.0172792,178.756,358.208,199.92,0,0,0,0,
4.32975,0.300078,0.198995,-9.48941,0.000381323,4.26155e-05,-5.60284e-05,-2.28965e-05,-8.38436e-06,2.05579e-05,0.172782,-0.984776,-0.00798989,0.0172769,178.756,358.208,199.922,0,0,0,0,
4.36091,0.288075,0.196707,-9.47531,0.000375681,-0.000466192,-0.000572652,-2.30357e-05,-8.1665e-06,2.03946e-05,0.172537,-0.984819,-0.00798414,0.0172667,178.757,358.209,199.894,0,0,0,0,
4.39091,0.312081,0.208144,-9.48236,-0.000108458,-0.00150881,-1.26511e-05,-2.32594e-05,-8.5985e-06,2.04927e-05,0.172342,-0.984853,-0.00798198,0.0172909,178.757,358.206,199.871,0,0,0,0,
4.42065,0.307279,0.217293,-9.48941,0.000390971,0.000627674,-1.20476e-05,-2.35374e-05,-8.57296e-06,2.03447e-05,0.172245,-0.98487,-0.00799219,0.0172931,178.756,358.206,199.86,0,0,0,0,
4.45497,0.292876,0.19442,-9.49881,0.000425348,0.000608111,0.00106402,-2.34389e-05,-9.61205e-06,2.055e-05,0.172961,-0.984744,-0.00798176,0.0173272,178.755,358.203,199.943,0,0,0,0,
4.49336,0.30968,0.208144,-9.45182,-0.000123957,7.06371e-05,0.000569154,-2.39019e-05,-9.25644e-06,2.03161e-05,0.173465,-0.984655,-0.00797959,0.0173281,178.754,358.203,200.002,0,0,0,0,
4.54179,0.292876,0.208144,-9.49646,0.000416895,-0.000416702,2.22176e-05,-2.36096e-05,-9.24751e-06,2.05417e-05,0.173916,-0.984576,-0.00798064,0.017297,178.754,358.207,200.054,0,0,0,0,
4.58744,0.297677,0.210431,-9.48236,-0.0011516,-0.000911696,-5.35324e-06,-2.37409e-05,-8.75777e-06,2.05602e-05,0.173973,-0.984566,-0.00796646,0.0173326,178.755,358.203,200.061,0,0,0,0,
